difficulty,winrate,pickPolicy,carryCap,run,period,netWorth
1,1,synergy,off,14,38,54086.69
1,1,synergy,off,14,39,120320.77
1,1,synergy,off,14,40,70055.77
1,1,synergy,off,15,1,-4980.00
1,1,synergy,off,15,2,-4975.25
1,1,synergy,off,15,3,-4974.19
1,1,synergy,off,15,4,-4981.79
1,1,synergy,off,15,5,-4987.63
1,1,synergy,off,15,6,-4991.79
1,1,synergy,off,15,7,-4992.31
1,1,synergy,off,15,8,-4988.68
1,1,synergy,off,15,9,-4875.58
1,1,synergy,off,15,10,-4629.87
1,1,synergy,off,15,11,-4261.72
1,1,synergy,off,15,12,-4301.89
1,1,synergy,off,15,13,-4596.57
1,1,synergy,off,15,14,-4281.57
1,1,synergy,off,15,15,-4349.56
1,1,synergy,off,15,16,-3248.19
1,1,synergy,off,15,17,-1897.03
1,1,synergy,off,15,18,-50.99
1,1,synergy,off,15,19,2759.29
1,1,synergy,off,15,20,7778.00
1,1,synergy,off,15,21,10886.43
1,1,synergy,off,15,22,5952.79
1,1,synergy,off,15,23,25914.67
1,1,synergy,off,15,24,4212.97
1,1,synergy,off,15,25,6821.72
1,1,synergy,off,15,26,7859.62
1,1,synergy,off,15,27,7588.62
1,1,synergy,off,15,28,13166.39
1,1,synergy,off,15,29,13126.39
1,1,synergy,off,15,30,14793.89
1,1,synergy,off,15,31,16615.07
1,1,synergy,off,15,32,8860.16
1,1,synergy,off,15,33,9023.45
1,1,synergy,off,15,34,10996.17
1,1,synergy,off,15,35,31289.92
1,1,synergy,off,15,36,27607.42
1,1,synergy,off,15,37,28659.30
1,1,synergy,off,15,38,34784.55
1,1,synergy,off,15,39,35708.92
1,1,synergy,off,15,40,59951.49
1,1,synergy,off,16,1,-4980.00
1,1,synergy,off,16,2,-4963.99
1,1,synergy,off,16,3,-4939.76
1,1,synergy,off,16,4,-4935.41
1,1,synergy,off,16,5,-4928.28
1,1,synergy,off,16,6,-4785.06
1,1,synergy,off,16,7,-4625.94
1,1,synergy,off,16,8,-4135.70
1,1,synergy,off,16,9,-3890.70
